lines read (n),time (s)
100,0.002497499983292073
1000,0.025024800037499517
2000,0.047259700018912554
3000,0.06038229999830946
4000,0.0880594999762252
5000,0.10002109996275976
6000,0.11706409999169409
7000,0.14621809998061508
8000,0.16454699996393174
9000,0.19282210001256317
10000,0.20395140000618994
