lines read (n),time (s)
100,0.001139208092354238
1000,0.01065183395985514
2000,0.02102008298970759
3000,0.03256012499332428
4000,0.043369124992750585
5000,0.05579308408778161
6000,0.066029290901497
7000,0.07480204198509455
8000,0.08659820794127882
9000,0.09679283399600536
10000,0.10311654210090637
