number of lines read (n),time in seconds (s)
100,0.0015555410645902157
1000,0.012212375062517822
2000,0.02049366699066013
3000,0.03114445903338492
4000,0.04451883304864168
5000,0.05096370796673
6000,0.06423304206691682
7000,0.07126654195599258
8000,0.0802970000077039
9000,0.08984420797787607
10000,0.09944100002758205
