number of lines read (n),time in seconds (s)
100,0.0011269999668002129
1000,0.011183124966919422
2000,0.021201916970312595
3000,0.031457167002372444
4000,0.04180045798420906
5000,0.05285212502349168
6000,0.06232587504200637
7000,0.07472287502605468
8000,0.0822428340325132
9000,0.09246779105160385
10000,0.10331341600976884
